Производитель;Артикул;Наименование;Объем;Состав;Вязкость;API;ACEA;Допуски OEM;Цена;Количество
ARAL;20458;Моторное масло ARAL SuperTronic SAE 0W-40 (1л);1;Синтетическое;0W-40;CF,SM;C2,C3;BMW Longlife-04,FIAT 9.55535-S2,MB 229.31,MB 229.51,PORSCHE A40;1;1
ARAL;10382;Моторное масло ARAL SuperTronic G SAE 0W-30 (1л);1;Синтетическое;0W-30;CF,SL;A3/B3/B4;BMW Longlife-01,MB 229.3,MB 229.5,OPEL GM-LL-A-025,OPEL GM-LL-B-025,VW 502.00 / 505.00;1;1
ARAL;20637;Моторное масло ARAL HighTronic SAE 5W-40 (1л);1;Синтетическое;5W-40;CF,SL;C3;FIAT 9.55535-S2,Ford WSS-M2C 917-A,MB 229.31,PORSCHE A40,Renault RN 0700,Renault RN 0710,VW 502.00,VW 505.00,VW 505.01;1;1
ARAL;11281;Моторное масло ARAL Plus Turboral SAE 15W-40 (20л);20;Минеральное;15W-40;CI-4,SJ;E7;Caterpillar ECF-2,Cummins CES 20076,Cummins CES 20077,MAN 3275,MB 228.3,Renault RLD,Volvo VDS-2;1;1
ARAL;22013/1;Моторное масло ARAL Turboral SAE 15W-40 (20л);20;Минеральное;15W-40;CI-4,SJ;E7;Caterpillar ECF-2,Cummins CES 20076,Cummins CES 20077,MAN 3275,MB 228.3,Renault RLD,Volvo VDS-2;1;1
ARAL;10451;Моторное масло ARAL SuperTronic SAE 0W-40 (60л);60;Синтетическое;0W-40;;;;1;1
ARAL;a-20631;Моторное масло ARAL HighTronic SAE 5W-40 (60л);60;Синтетическое;5W-40;CF,SL;C3;FIAT 9.55535-S2,Ford WSS-M2C 917-A,MB 229.31,PORSCHE A40,Renault RN 0700,Renault RN 0710,VW 502.00,VW 505.00,VW 505.01;1;1
ARAL;10471;Моторное масло ARAL SuperTronic LongLife III SAE 5W-30 (60л);60;Синтетическое;5W-30;;;;1;tttttt1
ARAL;10481;Моторное масло ARAL BlueTronic SAE 10W-40 (60л);60;Полусинтетическое;10W-40;CF,SL;A3,B4;MB 229.1,VW 501.01,VW 505.00;1;1
ARAL;22001;Моторное масло ARAL Turboral SAE 10W-40 (60л);60;Полусинтетическое;10W-40;CI-4,SL;E7;Caterpillar ECF-2,Cummins CES 20076,DAF HP1,DAF HP2,GES 20077,GES 20078,MAN 3275,MB 228.3,MB 229.1,MB 235.28,MTU Type 2,Renault RLD,Voith Retarder Oilklasse B,Volvo VDS-2;0;1
